TIME_PERIOD,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,value
2011,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,455271.443
1995,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,227383.563
2004,A,BEL,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,334143.284
2004,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,178457.229
2017,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,318639.663
2021,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,406035.544
2015,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,277981.039
1990,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,93706.036
1991,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,98214.851
1992,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,102485.529
1993,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,104829.357
2022,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,454815.423
2014,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,270207.287
1996,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,124808.255
2016,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,296830.912
2020,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,365525.766
2019,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,352324.7
2018,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,331590.774
1997,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,131497.153
1998,A,DNK,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,136833.601
1999,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,159337.917
2005,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,225819.373
2010,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,294927.817
2013,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,326079.211
1995,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,144045.163
2002,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,187052.558
2000,A,CZE,S1,S1,B1GQ,_Z,_Z,_Z,USD_PPP,V,N,T0102,167452.849
