TIME_PERIOD,REF_AREA,MEASURE,UNIT_MEASURE,TRANSFORMATION,ADJUSTMENT,SEX,AGE,ACTIVITY,FREQ,value
2024,G7,LF,PS,_Z,Y,_T,Y15T64,_Z,A,368999.1
2024,AUS,LF,PS,_Z,Y,_T,Y15T64,_Z,A,14190.99
2024,CAN,LF,PS,_Z,Y,_T,Y15T64,_Z,A,21010.11
2024,COL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,24247.39
2024,CRI,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2277.5
2024,ISR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4240.575
2024,MEX,LF,PS,_Z,Y,_T,Y15T64,_Z,A,57529.19
2024,NZL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2852.525
2024,TUR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,34551.75
2024,GBR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,33567.5
2024,USA,LF,PS,_Z,Y,_T,Y15T64,_Z,A,156466.4
2024,OECD,LF,PS,_Z,Y,_T,Y15T64,_Z,A,654000.7
2024,ROU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,8219.275
2024,ZAF,LF,PS,_Z,Y,_T,Y15T64,_Z,A,25008.07
2019,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5259.5
2019,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2929.5
2019,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,198.0
2019,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1416.0
2019,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22803.25
2019,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4742.25
2019,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,161906.8
2019,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,208190.5
2019,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,3077.25
2018,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5267.25
2018,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2891.75
2018,ISL,LF,PS,_Z,Y,_T,Y15T64,_Z,A,193.0
2018,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22606.25
2018,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4719.5
2018,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,161324.0
2018,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,207309.0
2018,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,3235.0
2020,CZE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,5223.5
2020,DNK,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2922.0
2020,LTU,LF,PS,_Z,Y,_T,Y15T64,_Z,A,1423.0
2020,ESP,LF,PS,_Z,Y,_T,Y15T64,_Z,A,22474.75
2020,CHE,LF,PS,_Z,Y,_T,Y15T64,_Z,A,4754.0
2020,EA20,LF,PS,_Z,Y,_T,Y15T64,_Z,A,159271.0
2020,EU27_2020,LF,PS,_Z,Y,_T,Y15T64,_Z,A,205349.8
2020,BGR,LF,PS,_Z,Y,_T,Y15T64,_Z,A,2987.5
