,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
229,2018,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.705
230,2017,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.364
231,2016,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.243
232,2015,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.243
233,2014,LCA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.586
234,2022,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.524
235,2021,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.019
236,2020,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.121
237,2019,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.321
238,2018,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.89
239,2017,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.221
240,2016,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.299
241,2015,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.215
242,2014,RWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.393
243,2022,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.089
244,2021,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.252
245,2020,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.979
246,2019,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.838
247,2018,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.729
248,2017,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.052
249,2016,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.251
250,2015,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.997
251,2014,ROU,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.463
252,2023,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.88
253,2022,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.432
254,2021,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.02
255,2020,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.815
256,2019,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.005
257,2018,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.335
258,2017,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.732
259,2016,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.175
260,2015,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.166
261,2014,PHL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.989
