,TIME_PERIOD,REF_AREA,MEASURE,SECTOR,STANDARD_REVENUE,CTRY_SPECIFIC_REVENUE,UNIT_MEASURE,FREQ,value
1165,2020,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.56
1166,2019,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.178
1167,2018,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.061
1168,2017,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.239
1169,2016,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.556
1170,2015,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.474
1171,2014,Poland,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.272
1172,2023,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.443
1173,2022,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,43.437
1174,2021,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,41.344
1175,2020,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.714
1176,2019,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.854
1177,2018,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.253
1178,2017,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.601
1179,2016,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.807
1180,2015,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.337
1181,2014,Norway,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.637
1182,2023,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.986
1183,2022,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.12
1184,2021,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.542
1185,2020,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.727
1186,2019,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.404
1187,2018,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.18
1188,2017,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.322
1189,2016,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.4
1190,2015,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.5
1191,2014,New Zealand,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.186
1192,2023,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.526
1193,2022,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.066
1194,2021,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.264
1195,2020,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.022
1196,2019,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.473
1197,2018,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.144
1198,2017,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.046
1199,2016,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,37.774
1200,2015,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.521
1201,2014,Netherlands,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.661
1202,2023,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.749
1203,2022,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.801
1204,2021,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.726
1205,2020,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.228
1206,2019,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.892
1207,2018,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.709
1208,2017,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.651
1209,2016,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.106
1210,2015,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.36
1211,2014,Mexico,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.201
1212,2023,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,40.925
1213,2022,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.257
1214,2021,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.187
1215,2020,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,38.272
1216,2019,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.509
1217,2018,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,39.355
1218,2017,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.649
1219,2016,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,35.461
1220,2015,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.777
1221,2014,Luxembourg,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,36.08
1222,2023,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.596
1223,2022,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.555
1224,2021,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.895
1225,2020,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.244
1226,2019,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.217
1227,2018,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.238
1228,2017,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.61
1229,2016,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.656
1230,2015,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.942
1231,2014,Lithuania,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.477
1232,2023,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.882
1233,2022,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.762
1234,2021,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.746
1235,2020,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.134
1236,2019,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.013
1237,2018,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.052
1238,2017,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.091
1239,2016,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.73
1240,2015,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.79
1241,2014,Latvia,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.715
1242,2023,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.852
1243,2022,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.976
1244,2021,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.761
1245,2020,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.745
1246,2019,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.227
1247,2018,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,26.686
1248,2017,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.357
1249,2016,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.745
1250,2015,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.737
1251,2014,Korea,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.381
1252,2022,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.441
1253,2021,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.883
1254,2020,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.909
1255,2019,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.507
1256,2018,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.548
1257,2017,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.916
1258,2016,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.279
1259,2015,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.242
1260,2014,Japan,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.973
1261,2023,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.844
1262,2022,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.837
1263,2021,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.461
1264,2020,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.582
1265,2019,Italy,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,42.272
1266,2023,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.943
1267,2022,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.035
1268,2021,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,34.079
1269,2020,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.509
1270,2019,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.366
1271,2018,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.453
1272,2017,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.302
1273,2016,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,33.538
1274,2015,OECD Total,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.892
1275,2023,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.003
1276,2022,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.54
1277,2021,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,32.098
1278,2020,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.453
1279,2019,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.932
1280,2018,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.986
1281,2017,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.731
1282,2016,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.616
1283,2015,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.343
1284,2014,Brazil,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.113
1285,2022,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.641
1286,2021,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.745
1287,2020,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.193
1288,2019,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.726
1289,2018,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.293
1290,2017,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.342
1291,2016,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.632
1292,2015,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.435
1293,2014,BWA,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.01
1294,2023,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.861
1295,2022,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.681
1296,2021,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.637
1297,2020,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.159
1298,2019,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.695
1299,2018,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.978
1300,2017,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.878
1301,2016,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.925
1302,2015,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.498
1303,2014,BOL,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.854
1304,2023,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.626
1305,2022,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,11.176
1306,2021,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,9.882
1307,2020,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,8.143
1308,2019,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,10.41
1309,2018,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.177
1310,2017,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,14.231
1311,2016,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,12.85
1312,2015,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.174
1313,2014,BTN,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.469
1314,2023,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.976
1315,2022,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.081
1316,2021,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.323
1317,2020,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.828
1318,2019,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.045
1319,2018,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,24.378
1320,2017,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,23.189
1321,2016,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.366
1322,2015,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.464
1323,2014,BLZ,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,21.644
1324,2023,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.133
1325,2022,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.988
1326,2021,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.696
1327,2020,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,31.049
1328,2019,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.237
1329,2018,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,30.284
1330,2017,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,29.574
1331,2016,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,28.143
1332,2015,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,27.3
1333,2014,BRB,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,25.39
1334,2023,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.252
1335,2022,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.323
1336,2021,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.423
1337,2020,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.413
1338,2019,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,6.827
1339,2018,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.48
1340,2017,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.666
1341,2016,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.385
1342,2015,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.401
1343,2014,BGD,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,7.473
1344,2023,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.879
1345,2022,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.635
1346,2021,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.331
1347,2020,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.249
1348,2019,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.197
1349,2018,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.992
1350,2017,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,17.528
1351,2016,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,16.362
1352,2015,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,15.287
1353,2014,BHS,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,13.709
1354,2023,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,22.977
1355,2022,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,19.625
1356,2021,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.396
1357,2020,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,20.298
1358,2019,AZE,TAX_REV,S13,Total tax revenue,_T,Percentage of GDP,Annual,18.062
